[video 1105s] image_builder      [########------------] 2/5 image done | slide=2 path=slide_02.png error=
[video 1105s] image_builder      [############--------] 3/5 calling image model | slide=3 title=3. Workflow
[video 1105s] image_api          request image generation | model=qwen-image size=1280x720
[video 1110s] image_api          image request failed | URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>
[video 1110s] image_builder      [############--------] 3/5 image failed | slide=3 path= error=URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)>
[video 1110s] image_builder      [################----] 4/5 calling image model | slide=4 title=4. Evidence
[video 1110s] image_api          request image generation | model=qwen-image size=1280x720
[video 1187s] image_api          image response received | ok=True path=slide_04.png
[video 1187s] image_builder      [################----] 4/5 image done | slide=4 path=slide_04.png error=
[video 1187s] image_builder      [####################] 5/5 calling image model | slide=5 title=5. Limitations
[video 1187s] image_api          request image generation | model=qwen-image size=1280x720
[video 1268s] image_api          image response received | ok=True path=slide_05.png
[video 1268s] image_builder      [####################] 5/5 image done | slide=5 path=slide_05.png error=
[video 1268s] image_builder      [####################] 5/5 finished slide visual generation | ok=4/5
[video 1268s] pipeline           [##########----------] 6/12 write storyboard artifacts
[video 1268s] pipeline           [############--------] 7/12 synthesize narration audio
[video 1268s] tts_builder        request speech synthesis | model=qwen-tts chars=2776
[video 1378s] tts_builder        speech synthesis failed | RemoteDisconnected: Remote end closed connection without response
[video 1405s] pipeline           [#############-------] 8/12 write final artifacts
[video 1405s] preview            [###############-----] 9/12 write HTML preview | experiments/video_output/paper2video_full_20260723_144058/preview.html
[video 1405s] pipeline           [#################---] 10/12 render MP4 video | experiments/video_output/paper2video_full_20260723_144058/video.mp4
[video 1405s] renderer           [--------------------] 0/5 start frame rendering | style=arbor fps=24
[video 1405s] renderer           [####----------------] 1/5 draw slide frames | slide=1 frames=600
[video 1544s] renderer           [########------------] 2/5 draw slide frames | slide=2 frames=504
[video 1583s] renderer           [############--------] 3/5 draw slide frames | slide=3 frames=696
[video 1651s] renderer           [################----] 4/5 draw slide frames | slide=4 frames=576
[video 1708s] renderer           [####################] 5/5 draw slide frames | slide=5 frames=576
[video 1923s] renderer           start ffmpeg encoding | frames=2952 fps=24 out=video.mp4
